alert_type,is_critical,vbt,vct,vmt,vbv,vbc,soc,speed
Harsh Acceleration,0,25.97,37.79,47.14,64.9,-22.62,48.55,23.33
Deep Discharge Warning,1,47.22,56.35,80.78,48.25,-43.99,7.6,13.59
Harsh Braking,0,26.06,32.68,46.99,80.09,-23.81,95.63,29.3
Battery Under Voltage,1,45.87,64.22,76.34,46.48,-55.72,2.61,0.91
Harsh Acceleration,0,34.2,38.32,45.61,78.54,-21.34,89.79,51.44
Battery Under Voltage,1,57.05,73.86,92.11,45.24,-66.29,12.38,30.26
Harsh Braking,0,35.97,40.12,44.31,75.82,-10.18,85.73,41.61
Consecutive Fast Charging,1,43.62,53.44,63.22,49.84,-56.29,15.48,13.88
Harsh Cornering,0,30.3,35.5,48.8,72.74,-25.87,72.22,45.39
Deep Discharge Warning,1,47.49,58.87,79.37,50.76,-44.48,21.03,26.93
Harsh Braking,0,28.49,35.72,33.79,74.38,-13.95,80.88,35.98
Harsh Acceleration,0,33.81,41.06,44.67,79.28,-16.61,94.63,40.89
Harsh Cornering,0,27.55,31.62,42.62,64.99,-25.14,45.12,17.94
Harsh Braking,0,26.93,28.52,36.56,71.38,-29.59,66.36,26.69
Deep Discharge Warning,1,56.07,66.21,70.48,45.51,-55.44,9.8,26.38
Harsh Acceleration,0,29.33,40.96,41.58,63.34,-11.77,41.08,7.65
Harsh Cornering,0,36.67,43.37,40.83,75.38,-5.58,81.49,33.11
Low SoC,1,57.13,73.36,78.84,49.18,-37.6,13.52,17.73
Harsh Braking,0,30.48,37.24,30.31,61.67,-24.81,40.01,45.01
Harsh Acceleration,0,32.1,38.47,46.35,70.15,-18.65,65.08,5.77
OverSpeed,0,26.04,29.61,35.56,80.32,-11.26,96.31,43.3
Low SoC,1,42.22,47.46,61.8,46.11,-37.17,9.5,7.77
Harsh Braking,0,30.17,36.48,38.8,70.12,-20.1,66.94,31.24
Battery Under Voltage,1,50.64,55.94,84.13,46.96,-44.48,7.72,2.68
Harsh Braking,0,29.34,37.78,37.87,70.46,-15.1,71.05,39.28
Harsh Cornering,0,27.65,32.02,39.63,75.32,-14.15,81.96,21.04
Deep Discharge Warning,1,28.41,39.39,54.37,47.87,-50.17,12.28,1.67
Low SoC,1,43.82,44.96,57.76,45.21,-24.5,3.21,22.64
Low SoC,1,50.32,65.91,73.27,46.61,-36.3,12.5,69.69
Deep Discharge Warning,1,48.05,71.12,75.69,46.52,-17.02,6.64,42.75
Harsh Braking,0,28.24,36.64,38.15,79.81,7.6,95.47,35.54
Deep Discharge Warning,1,36.19,45.69,65.08,48.0,-40.18,12.95,5.85
Harsh Acceleration,0,25.12,29.18,32.88,66.98,-9.29,53.0,28.58
Deep Discharge Warning,1,40.37,56.63,57.4,45.28,-35.08,7.48,6.08
Low SoC,1,35.57,47.11,75.57,47.96,-64.54,17.25,4.9
Harsh Braking,0,30.99,36.39,42.64,64.97,-3.12,46.67,28.41
Consecutive Fast Charging,1,44.79,51.37,75.22,47.87,-56.62,14.31,5.77
Low SoC,1,43.95,50.86,60.25,48.84,-40.02,16.34,0.4
Harsh Acceleration,0,29.26,34.57,43.65,66.76,-13.36,54.3,2.15
Harsh Acceleration,0,34.48,37.11,51.68,67.96,-3.89,54.38,40.03
Consecutive Fast Charging,1,34.32,49.03,46.46,43.6,-43.45,6.3,26.4
Harsh Acceleration,0,34.38,41.11,50.76,68.71,-24.31,59.09,40.88
Battery Under Voltage,1,43.3,50.85,74.35,44.7,-36.3,1.19,9.51
Harsh Braking,0,31.85,37.01,44.68,78.32,-3.31,93.32,41.01
Harsh Cornering,0,31.74,34.5,45.02,65.21,-11.07,47.6,46.2
Harsh Acceleration,0,31.05,32.72,38.28,73.43,-9.41,82.23,20.23
Harsh Braking,0,37.91,42.45,55.44,74.26,-23.11,81.5,52.05
Low SoC,1,44.64,48.32,63.86,47.32,-35.98,3.64,22.03
Consecutive Fast Charging,1,40.75,57.32,72.35,45.38,-48.25,6.37,1.77
Battery Under Voltage,1,44.01,58.51,95.35,46.36,-41.88,7.01,23.57
Harsh Braking,0,34.43,37.37,39.45,65.31,-11.21,49.42,59.08
Harsh Braking,0,34.18,42.71,43.15,73.43,-10.51,75.82,27.44
Low SoC,1,42.11,51.29,60.59,46.8,-37.17,1.16,3.01
Harsh Acceleration,0,36.56,43.59,40.69,72.79,-25.12,76.03,26.07
Harsh Braking,0,34.79,40.26,50.75,65.05,-25.36,48.53,28.21
Harsh Braking,0,33.6,37.12,41.9,74.8,-11.93,82.24,19.68
Low SoC,1,38.21,42.29,69.05,46.39,-35.97,3.36,20.41
Battery Under Voltage,1,37.95,53.03,59.84,50.98,-21.04,17.88,22.94
Battery Under Voltage,1,44.42,58.19,63.05,47.64,-38.57,7.97,1.97
Harsh Acceleration,0,28.8,36.45,41.99,69.4,-1.39,61.32,45.61
Consecutive Fast Charging,1,47.35,68.15,65.22,48.74,-42.03,8.13,30.6
Harsh Acceleration,0,27.08,32.92,43.22,75.64,-14.84,81.29,33.98
Harsh Acceleration,0,26.31,33.62,44.04,75.42,-3.55,82.05,31.03
Harsh Cornering,0,25.67,31.47,36.28,69.14,-15.73,61.39,15.95
Deep Discharge Warning,1,47.37,65.88,62.76,45.03,-38.87,2.3,11.61
Deep Discharge Warning,1,27.08,49.1,36.54,46.17,-27.31,0.98,18.7
Low SoC,1,43.29,54.1,62.01,47.98,-87.2,6.69,9.88
OverSpeed,0,30.68,38.13,48.31,75.9,-8.92,86.51,34.09
Harsh Braking,0,36.85,44.56,50.54,74.82,-19.44,80.43,40.19
Harsh Acceleration,0,30.79,36.03,43.14,65.19,-12.2,46.05,32.78
Consecutive Fast Charging,1,41.19,57.02,73.25,47.31,-63.53,12.33,17.55
Harsh Braking,0,32.81,42.27,42.47,78.58,-24.36,94.93,25.0
Consecutive Fast Charging,1,50.01,64.95,72.82,49.37,-46.65,27.38,27.44
Harsh Acceleration,0,34.45,38.39,51.93,70.22,-40.59,68.33,19.01
Deep Discharge Warning,1,46.63,53.09,82.35,47.74,-64.87,15.29,3.51
Low SoC,1,34.47,49.64,61.07,44.8,-60.25,3.06,22.45
OverSpeed,0,39.33,45.08,55.45,64.94,-8.6,46.3,32.42
Harsh Acceleration,0,25.07,26.69,39.52,77.66,-13.56,90.62,27.4
Harsh Braking,0,27.85,32.79,38.9,64.0,-24.68,45.09,31.67
Harsh Acceleration,0,25.75,30.46,46.3,69.72,-35.97,66.05,21.31
Harsh Acceleration,0,32.53,38.89,48.83,65.69,-17.1,47.93,24.04
Harsh Acceleration,0,34.41,38.58,44.3,68.26,-10.89,60.59,17.22
Harsh Braking,0,34.02,42.91,38.45,62.86,-9.98,43.63,40.61
Deep Discharge Warning,1,49.03,59.75,73.57,47.68,-16.75,11.05,30.59
Harsh Cornering,0,32.62,37.81,44.9,66.28,-24.61,46.7,40.57
Deep Discharge Warning,1,48.83,61.7,75.77,46.99,-64.1,1.88,29.6
Harsh Braking,0,33.65,35.66,48.65,70.59,-2.05,66.42,41.77
Harsh Braking,0,36.85,39.07,46.04,66.44,-6.32,54.72,52.67
Deep Discharge Warning,1,44.46,49.81,63.78,45.14,-72.53,1.65,0.59
Thermal Overheat Surge,1,36.88,43.15,67.45,47.43,-40.17,5.49,3.44
Harsh Braking,0,31.59,36.25,41.63,63.48,-10.64,42.94,25.14
Harsh Braking,0,25.19,35.79,36.09,66.95,-12.52,54.81,10.0
Harsh Braking,0,35.18,39.95,48.12,68.39,-19.49,60.8,38.0
Battery Under Voltage,1,45.91,64.01,69.82,43.44,-59.72,7.51,4.74
Low SoC,1,52.5,63.32,70.26,46.57,-61.17,3.32,1.12
Harsh Braking,0,26.84,32.67,34.7,64.06,-13.88,42.8,33.16
Battery Under Voltage,1,51.78,67.85,72.76,48.11,-73.2,7.21,11.67
Harsh Acceleration,0,25.67,28.35,37.24,64.23,-18.35,48.89,31.36
Harsh Cornering,0,35.43,43.8,41.5,74.28,-3.23,81.26,47.64
Harsh Acceleration,0,31.66,42.89,57.04,74.67,-16.13,84.94,26.1
Harsh Acceleration,0,26.13,38.58,40.74,67.06,-3.14,58.59,35.26
Harsh Braking,0,27.38,31.74,34.82,73.32,-2.36,76.87,40.32
Deep Discharge Warning,1,43.17,51.59,61.94,46.08,-38.56,0.2,21.32
Harsh Cornering,0,34.22,41.93,42.26,70.52,-21.17,67.92,43.54
Harsh Acceleration,0,34.69,35.65,47.99,71.68,-13.74,68.61,36.86
Harsh Acceleration,0,29.16,37.47,42.17,67.05,-13.81,52.05,52.7
Harsh Braking,0,24.11,26.72,36.15,71.69,-9.99,68.76,30.8
Thermal Overheat Surge,1,41.73,53.39,56.54,46.06,-27.93,5.59,41.66
Deep Discharge Warning,1,57.78,72.5,76.29,45.48,-12.7,2.92,25.98
Harsh Cornering,0,33.09,41.03,50.87,64.94,-22.83,50.55,38.99
Harsh Braking,0,32.82,41.09,46.52,79.06,-10.69,92.52,19.98
Low SoC,1,39.14,48.45,70.09,44.78,-31.27,3.38,9.56
Harsh Cornering,0,35.61,41.86,49.85,75.79,-9.3,86.15,42.19
Harsh Acceleration,0,33.94,37.13,48.72,72.64,-12.97,72.2,42.14
OverSpeed,0,28.76,37.49,43.85,72.64,-1.15,71.79,38.13
Harsh Acceleration,0,34.65,41.94,45.51,75.56,-14.45,78.41,31.93
Harsh Cornering,0,29.76,33.75,40.64,77.75,-19.16,95.71,47.09
Deep Discharge Warning,1,34.21,43.24,52.11,48.0,-48.99,1.98,3.86
Harsh Braking,0,32.11,39.22,40.82,74.97,-16.17,88.14,29.02
Deep Discharge Warning,1,47.11,60.73,70.51,47.88,-49.08,10.94,23.05
Battery Under Voltage,1,41.92,62.85,61.68,45.09,-18.02,8.18,3.34
Harsh Cornering,0,36.51,43.08,38.13,70.33,-2.65,69.42,34.42
Harsh Braking,0,30.73,40.2,36.99,68.53,-14.97,53.92,7.89
Harsh Acceleration,0,26.43,36.54,41.04,72.94,-15.61,80.14,33.89
Battery Under Voltage,1,37.35,44.03,69.61,47.45,-32.42,0.56,3.56
Thermal Overheat Surge,1,40.29,54.33,69.66,45.64,-34.14,7.27,23.82
Deep Discharge Warning,1,51.72,69.18,70.11,45.3,-45.98,5.22,13.98
Low SoC,1,37.03,43.61,53.66,46.54,-43.4,8.06,27.57
Harsh Cornering,0,25.7,33.26,44.54,68.14,-20.72,53.92,44.39
Harsh Acceleration,0,37.66,39.94,46.11,61.72,-33.05,40.73,28.72
Battery Under Voltage,1,42.98,55.57,67.77,44.36,-41.24,7.4,18.48
Harsh Braking,0,20.12,23.32,32.94,70.09,-9.13,66.84,33.41
Consecutive Fast Charging,1,39.65,56.15,86.13,45.93,-20.09,13.7,0.82
Harsh Braking,0,34.82,41.72,47.91,74.41,-33.04,85.43,35.47
Low SoC,1,39.33,53.35,62.4,48.55,-62.41,11.95,2.16
Low SoC,1,35.18,38.85,67.78,48.33,-66.63,8.04,1.5
OverSpeed,0,20.84,26.12,35.53,77.52,-20.13,87.31,38.95
Harsh Acceleration,0,31.05,39.27,48.84,75.33,-25.29,81.52,23.94
Harsh Braking,0,31.98,39.52,49.64,65.3,-20.49,48.14,45.67
Deep Discharge Warning,1,40.9,60.29,57.2,47.36,-48.36,7.0,2.42
Harsh Braking,0,34.28,39.63,43.62,71.78,-3.32,68.13,25.01
Harsh Braking,0,33.44,41.4,56.41,73.94,-27.84,82.19,33.17
Harsh Acceleration,0,26.6,28.17,48.76,73.2,-12.86,74.53,17.93
Harsh Braking,0,22.87,27.49,37.07,68.61,-26.63,58.48,28.21
OverSpeed,0,32.58,37.51,46.32,67.32,-19.07,56.7,31.19
Low SoC,1,36.02,40.18,62.32,44.86,-35.05,8.11,18.32
Low SoC,1,45.67,62.73,69.97,49.59,-33.74,24.09,6.39
Deep Discharge Warning,1,34.64,47.73,63.53,45.02,-57.33,6.46,29.0
Consecutive Fast Charging,1,46.48,64.61,72.75,46.72,-27.48,3.38,17.96
Deep Discharge Warning,1,44.07,58.2,71.27,45.32,-38.27,4.77,2.66
Consecutive Fast Charging,1,31.49,40.03,51.14,43.49,-91.88,2.8,10.01
Low SoC,1,37.26,46.78,65.26,46.42,-22.36,12.28,1.82
Low SoC,1,47.08,67.47,79.34,45.45,-49.89,8.9,23.42
Harsh Braking,0,30.63,38.14,42.81,66.26,-6.76,50.79,38.61
Harsh Acceleration,0,37.12,38.4,49.78,75.2,-13.65,84.81,12.89
Consecutive Fast Charging,1,35.85,46.36,66.36,45.13,-47.09,2.57,18.87
Harsh Acceleration,0,21.37,24.06,41.59,70.04,-17.88,63.19,23.87
Low SoC,1,40.83,48.42,72.94,47.25,-63.3,5.7,2.87
Deep Discharge Warning,1,48.07,49.78,67.78,46.11,-15.78,5.74,33.9
Harsh Acceleration,0,23.23,30.16,39.31,68.98,-9.04,61.29,39.67
Harsh Braking,0,32.62,39.57,41.89,75.79,-20.78,80.29,3.64
Battery Under Voltage,1,48.05,64.04,69.48,46.23,-53.44,7.14,14.94
Battery Under Voltage,1,38.49,52.05,60.49,47.43,-37.93,2.96,8.97
Harsh Braking,0,27.23,32.03,43.8,66.31,-41.51,49.37,35.06
Low SoC,1,36.05,44.45,64.45,45.25,-62.9,10.36,12.44
Low SoC,1,43.69,54.74,64.42,47.79,-73.69,7.66,13.09
Low SoC,1,35.34,42.2,57.76,44.06,-38.21,9.12,6.74
Low SoC,1,62.26,78.36,100.02,46.6,-64.69,3.53,6.08
Low SoC,1,45.8,56.73,64.8,47.24,-28.23,1.94,10.96
Deep Discharge Warning,1,43.32,57.75,71.2,46.76,-62.59,3.53,60.09
Low SoC,1,36.67,48.84,47.14,45.83,-44.64,2.76,54.15
Low SoC,1,42.85,51.74,56.12,47.19,-50.89,3.6,2.85
Low SoC,1,47.83,57.94,79.37,48.37,-53.58,16.93,7.64
OverSpeed,0,31.81,38.38,45.26,78.22,-33.81,90.08,33.0
Deep Discharge Warning,1,47.45,61.06,84.34,47.19,-61.32,8.05,4.25
Low SoC,1,45.85,58.03,60.32,47.21,-24.65,11.12,21.32
Harsh Cornering,0,34.27,40.62,54.59,76.17,-12.18,88.05,26.19
Deep Discharge Warning,1,44.45,52.14,72.28,46.44,-27.97,6.48,0.05
Low SoC,1,45.26,57.11,54.13,45.53,-39.02,3.95,10.73
Low SoC,1,57.69,63.93,96.66,48.94,-42.84,22.23,0.18
Battery Under Voltage,1,45.42,57.54,79.01,46.95,-52.89,1.51,4.38
Harsh Cornering,0,26.28,33.85,39.66,77.33,-5.7,87.8,13.28
Harsh Acceleration,0,32.55,38.31,35.98,79.14,2.81,96.04,32.38
Harsh Cornering,0,35.61,39.51,51.61,69.62,-0.39,62.6,38.04
Harsh Cornering,0,25.58,33.54,44.06,69.99,15.4,64.94,46.93
Battery Under Voltage,1,40.65,54.24,65.85,46.52,-44.92,3.33,4.8
Harsh Braking,0,27.58,33.63,30.85,68.71,-31.29,58.99,29.24
Battery Under Voltage,1,41.94,55.6,67.3,50.21,-40.84,16.21,51.61
OverSpeed,0,29.31,36.32,37.07,69.05,-0.42,63.97,44.91
Deep Discharge Warning,1,42.35,50.96,71.05,47.03,-68.05,7.81,3.72
OverSpeed,0,35.35,38.08,43.1,63.69,-12.44,45.37,26.98
OverSpeed,0,30.34,34.89,40.04,71.12,-7.92,66.75,46.53
Harsh Braking,0,31.57,38.63,46.03,71.16,-6.59,67.38,32.73
Low SoC,1,31.36,42.49,40.72,45.71,-43.04,2.41,23.32
Deep Discharge Warning,1,48.65,64.34,68.86,45.32,-43.47,2.29,36.85
Harsh Acceleration,0,30.09,39.28,45.78,76.3,-8.89,84.62,39.55
Battery Under Voltage,1,40.63,48.62,71.2,45.63,-56.11,4.67,1.53
Harsh Cornering,0,34.26,39.91,52.61,67.0,-19.86,52.38,28.56
Harsh Cornering,0,39.75,44.72,50.89,78.62,-32.77,97.74,26.34
Deep Discharge Warning,1,41.75,51.81,71.76,44.4,-63.41,9.22,21.79
Harsh Braking,0,23.51,31.5,30.26,70.76,-3.78,69.36,32.35
Deep Discharge Warning,1,35.52,44.73,63.57,45.62,-40.43,1.54,9.58
Deep Discharge Warning,1,45.27,54.24,72.39,46.2,-43.76,4.63,16.05
Low SoC,1,47.82,67.47,83.58,46.16,-11.37,1.94,36.87
Harsh Braking,0,34.74,40.51,53.29,66.96,-22.76,60.09,36.21
Deep Discharge Warning,1,45.98,58.48,59.44,49.05,-32.68,14.08,8.81
Harsh Acceleration,0,34.08,38.63,44.39,64.33,-3.75,41.66,35.09
Low SoC,1,42.43,54.26,58.59,42.15,-59.89,0.7,17.5
Low SoC,1,58.8,72.23,80.65,49.07,-53.03,17.44,30.25
Harsh Cornering,0,33.31,37.87,39.68,72.68,-28.44,74.45,14.07
Deep Discharge Warning,1,45.72,59.16,62.51,45.76,-66.57,12.87,21.73
Low SoC,1,60.48,72.48,97.02,48.74,-39.21,16.21,31.85
Battery Under Voltage,1,40.31,54.37,62.19,47.26,-25.05,11.16,25.05
Harsh Braking,0,40.4,50.46,48.01,66.02,-17.36,53.46,17.12
Harsh Acceleration,0,36.93,39.14,50.43,69.99,-16.54,60.56,22.26
Harsh Acceleration,0,28.42,35.66,37.64,72.71,-9.76,76.46,21.21
Deep Discharge Warning,1,43.29,55.86,69.73,48.14,-66.5,11.71,19.92
Low SoC,1,43.09,59.92,61.67,46.93,-33.98,4.88,20.34
Low SoC,1,30.06,40.37,59.48,49.61,-62.52,11.21,22.84
Harsh Acceleration,0,34.99,42.68,46.12,62.82,-12.4,40.65,32.13
Battery Under Voltage,1,45.74,62.96,76.81,46.9,-55.75,6.2,12.18
Harsh Braking,0,35.0,39.88,45.35,70.95,-29.09,65.54,40.31
Battery Under Voltage,1,42.23,62.87,67.93,47.54,-44.09,13.66,0.86
Harsh Cornering,0,29.33,32.95,32.52,67.34,-16.55,53.25,25.13
Deep Discharge Warning,1,34.5,46.53,57.38,46.21,-8.47,4.97,8.93
Deep Discharge Warning,1,46.34,62.01,64.8,46.31,-40.09,6.15,5.49
Low SoC,1,51.18,66.54,74.46,47.4,-60.27,5.53,35.55
Consecutive Fast Charging,1,53.48,67.58,83.88,50.78,-31.53,8.1,11.17
Harsh Braking,0,26.49,34.57,48.79,78.14,-23.27,96.71,54.54
Harsh Cornering,0,31.23,35.67,37.18,71.5,-22.06,70.9,39.26
Harsh Acceleration,0,26.43,33.27,38.8,72.24,-3.74,68.76,46.06
Harsh Acceleration,0,32.68,41.06,39.36,70.98,-4.11,68.72,40.76
Harsh Braking,0,23.2,23.06,31.18,74.56,-28.01,78.3,40.81
Deep Discharge Warning,1,39.74,54.32,52.92,46.81,-33.4,3.54,10.71
Harsh Acceleration,0,32.6,37.38,55.55,73.24,-30.58,77.8,18.82
Low SoC,1,42.94,53.99,66.68,47.46,-48.29,14.31,1.45
Harsh Cornering,0,26.31,33.0,40.56,65.62,-33.19,48.71,41.37
Low SoC,1,39.0,52.96,63.7,46.99,-42.81,9.13,3.04
Deep Discharge Warning,1,49.1,55.99,66.04,48.0,-52.98,6.06,18.72
Deep Discharge Warning,1,42.14,54.14,70.73,47.73,-47.5,10.62,96.77
Deep Discharge Warning,1,31.74,46.12,53.22,45.9,-35.31,9.52,0.79
Deep Discharge Warning,1,46.57,59.76,65.46,46.48,-37.89,3.79,0.31
Low SoC,1,49.12,64.59,63.11,45.67,-20.13,6.11,3.21
Harsh Acceleration,0,31.06,39.36,47.72,79.54,-21.38,93.81,41.69
Harsh Braking,0,27.01,32.12,36.78,69.23,-17.14,59.4,22.68
Deep Discharge Warning,1,46.77,63.19,76.21,44.59,-50.61,1.89,6.61
Deep Discharge Warning,1,47.75,60.21,57.67,47.4,-16.23,7.98,11.73
Harsh Braking,0,30.19,38.22,38.13,62.62,-18.19,42.06,36.53
Deep Discharge Warning,1,34.67,46.55,63.41,48.2,-60.85,10.57,8.68
Battery Under Voltage,1,39.57,52.62,57.05,47.48,-25.56,17.57,45.72
Low SoC,1,46.45,58.25,66.19,44.71,-49.93,1.61,0.18
Harsh Acceleration,0,27.29,35.27,37.96,70.07,-8.72,62.22,31.03
Harsh Cornering,0,28.26,35.81,33.47,78.69,-10.35,93.66,51.14
Harsh Acceleration,0,27.19,31.62,45.92,65.73,-37.15,52.45,26.5
OverSpeed,0,30.18,33.73,46.11,68.54,-0.91,60.15,28.19
Harsh Acceleration,0,31.9,37.53,53.37,76.78,-28.91,88.13,31.95
Harsh Acceleration,0,25.71,33.4,40.56,66.22,-14.93,48.14,33.59
Battery Under Voltage,1,49.57,61.82,57.19,44.66,-55.58,4.11,14.39
Low SoC,1,36.99,55.7,62.66,49.82,-30.05,17.57,9.44
OverSpeed,0,33.65,42.95,48.25,76.62,-27.02,85.48,36.3
Harsh Braking,0,28.71,35.14,38.89,77.68,-5.45,94.22,21.95
Low SoC,1,48.01,58.45,87.12,45.75,-30.52,2.31,52.46
Harsh Cornering,0,35.71,39.68,52.63,63.83,-15.19,41.14,44.32
Low SoC,1,48.64,59.37,72.16,44.74,-63.9,7.6,10.97
Battery Under Voltage,1,38.67,50.29,67.01,44.71,-19.53,5.64,8.55
Harsh Braking,0,25.83,32.92,37.66,77.98,-36.62,89.11,29.17
Harsh Acceleration,0,35.06,39.26,52.56,66.74,-11.15,51.81,13.42
Harsh Cornering,0,35.45,45.26,44.46,71.92,-32.97,68.66,30.08
Harsh Acceleration,0,27.79,32.03,43.61,73.01,-21.31,67.27,23.44
Harsh Braking,0,32.26,37.43,43.28,63.06,-22.71,42.14,29.64
OverSpeed,0,24.43,35.09,47.5,67.58,-8.05,59.12,29.57
Low SoC,1,45.32,58.86,68.59,48.48,-56.15,11.92,6.08
OverSpeed,0,25.14,31.22,40.37,73.69,-28.73,76.4,51.64
Deep Discharge Warning,1,53.88,57.19,96.1,44.83,-28.2,4.85,1.6
Harsh Acceleration,0,28.24,36.64,38.24,76.71,-16.64,87.05,59.7
Battery Under Voltage,1,43.44,59.17,61.39,48.28,-59.19,7.41,2.99
Harsh Braking,0,30.37,33.09,38.41,69.97,-14.57,63.62,35.4
Harsh Braking,0,35.42,39.04,49.65,73.81,-21.02,76.46,60.08
Battery Under Voltage,1,38.7,52.47,66.95,44.92,-61.65,2.36,32.61
Low SoC,1,38.77,51.83,57.81,46.35,-41.22,10.23,4.55
Harsh Cornering,0,27.71,33.58,43.33,76.43,-15.64,84.96,29.47
Deep Discharge Warning,1,41.8,53.02,76.28,46.57,-50.83,5.04,42.55
Low SoC,1,30.79,47.09,60.36,45.71,-57.09,10.86,4.24
Harsh Braking,0,23.65,31.85,39.81,75.93,-3.89,85.09,15.37
Harsh Cornering,0,26.93,29.24,35.71,75.15,-17.44,86.58,4.8
Harsh Braking,0,24.66,27.45,29.84,76.52,-0.02,85.94,11.44
Deep Discharge Warning,1,35.28,44.68,64.14,45.6,-44.73,2.91,4.0
Low SoC,1,51.15,56.35,78.74,45.12,-46.95,1.64,5.04
Low SoC,1,51.13,60.41,89.87,48.53,-45.04,10.03,8.46
Harsh Braking,0,22.93,30.6,35.08,70.34,-17.56,65.79,43.9
Battery Under Voltage,1,39.99,57.63,66.83,45.6,-45.18,5.58,1.3
OverSpeed,0,31.08,34.02,43.93,74.78,-25.95,81.68,37.1
Battery Under Voltage,1,49.9,61.92,94.86,46.03,-46.83,2.73,2.16
Harsh Braking,0,30.71,33.56,45.25,70.5,-19.97,66.34,19.34
Harsh Braking,0,27.99,30.98,58.79,77.81,-7.59,92.8,35.15
Harsh Acceleration,0,26.4,28.43,42.42,67.29,-9.76,55.56,30.02
Low SoC,1,30.65,40.25,49.17,46.69,-31.09,3.1,21.69
Thermal Overheat Surge,1,30.27,46.4,47.26,46.8,-39.61,14.31,19.02
Low SoC,1,36.22,54.1,66.3,45.56,-50.85,5.61,7.14
Harsh Braking,0,32.22,38.11,46.37,72.11,-6.26,75.86,28.68
Harsh Cornering,0,36.42,46.11,47.11,68.38,-7.68,59.27,23.17
Harsh Acceleration,0,26.58,34.13,37.91,79.47,-7.64,96.96,41.35
Low SoC,1,48.4,66.64,78.91,45.24,-40.94,2.25,23.82
Harsh Cornering,0,31.78,31.1,35.22,63.75,-14.26,44.19,19.88
Harsh Acceleration,0,23.59,30.73,42.69,70.27,-13.07,70.29,11.67
OverSpeed,0,28.34,37.43,43.25,69.09,-8.87,60.02,30.21
Low SoC,1,36.25,44.56,54.57,45.42,-48.42,5.0,9.91
Low SoC,1,37.67,49.27,56.96,46.0,-50.15,1.98,2.66
Harsh Acceleration,0,23.05,31.74,30.3,64.87,-14.14,44.49,8.24
Battery Under Voltage,1,48.85,57.7,68.83,44.85,-34.08,5.12,9.33
Thermal Overheat Surge,1,39.39,61.21,65.94,49.0,-48.45,5.26,15.12
Harsh Braking,0,22.48,28.44,31.49,71.13,-15.17,69.93,29.32
Harsh Braking,0,27.33,31.78,36.12,62.08,-8.19,41.48,32.59
OverSpeed,0,27.06,27.6,34.64,65.52,-18.53,48.43,12.37
Deep Discharge Warning,1,36.12,58.72,54.53,45.28,-42.47,10.38,9.06
Low SoC,1,46.01,60.82,70.12,47.0,-45.99,8.74,2.92
Consecutive Fast Charging,1,42.86,53.77,67.99,48.11,-49.48,15.32,13.18
Low SoC,1,40.86,51.18,66.31,45.04,-31.12,0.61,11.34
Deep Discharge Warning,1,47.9,55.91,75.46,50.68,-48.84,18.6,14.47
Deep Discharge Warning,1,46.67,60.84,69.34,45.95,-48.51,3.05,20.59
Harsh Acceleration,0,26.97,31.72,29.42,77.85,-6.98,95.52,23.59
OverSpeed,0,25.16,29.11,29.06,66.79,-23.12,49.69,41.56
Low SoC,1,40.43,49.79,68.51,47.41,-52.11,3.45,5.99
Deep Discharge Warning,1,35.62,54.09,54.61,45.7,-37.05,4.68,31.82
Harsh Acceleration,0,31.48,38.09,44.26,78.49,-27.42,95.01,43.94
Battery Under Voltage,1,55.4,68.15,85.56,43.61,-39.63,3.28,4.53
Low SoC,1,49.11,64.42,78.63,48.42,-62.73,18.11,2.96
Harsh Braking,0,34.19,40.08,54.15,73.52,-19.3,71.33,21.57
Low SoC,1,35.45,51.22,57.86,47.52,-56.38,6.11,2.76
Harsh Acceleration,0,30.39,34.87,39.37,64.86,-11.41,53.23,34.29
Deep Discharge Warning,1,36.4,55.82,69.04,50.32,-55.34,24.8,25.44
OverSpeed,0,31.58,39.27,40.49,79.69,-11.77,95.31,51.71
Thermal Overheat Surge,1,38.18,52.73,52.32,50.1,-40.19,20.65,8.21
Harsh Braking,0,28.97,35.5,42.34,67.23,-4.93,49.33,27.42
Low SoC,1,35.35,48.03,56.95,47.53,-33.41,12.56,10.5
Harsh Acceleration,0,30.46,37.05,35.62,78.02,-15.35,87.62,48.66
Consecutive Fast Charging,1,44.75,57.84,70.6,46.3,-48.32,4.21,29.89
Low SoC,1,37.65,49.56,58.8,47.09,-23.03,9.55,11.24
Harsh Braking,0,31.41,38.49,43.74,72.96,-25.8,73.26,20.83
Low SoC,1,43.52,52.32,79.06,48.71,-40.57,13.01,46.23
Harsh Braking,0,33.63,40.45,40.84,73.56,-21.28,78.66,31.12
Harsh Braking,0,35.68,40.79,40.75,67.93,-7.08,59.22,28.87
OverSpeed,0,37.89,48.65,47.85,63.75,-27.14,43.24,23.24
Harsh Acceleration,0,24.99,32.58,37.27,66.41,-14.25,51.36,23.45
Deep Discharge Warning,1,60.54,72.41,79.13,45.42,-61.63,7.06,12.07
Harsh Braking,0,24.0,33.49,36.95,68.03,-3.67,55.45,58.35
Harsh Braking,0,28.81,38.49,39.25,80.12,-19.88,94.77,52.32
Harsh Acceleration,0,36.42,44.92,48.59,64.75,-15.07,44.21,29.55
Deep Discharge Warning,1,40.7,56.79,65.87,46.67,-60.58,4.54,13.57
Low SoC,1,50.26,57.83,59.67,49.23,-65.99,11.74,3.83
